symbol,direction,score,entry_price,exit_price,pnl_usdt,pnl_pct,hold_candles,exit_reason,slippage_pct,leverage,margin,trail_pct,is_low_liq
ETHUSDT,LONG,133,2292.950722166173,2268.6534764031803,-3.1789491411361963,-1.0596497137120655,1,hard_stop,0.060252236072785,30,10.0,0.005,False
ETHUSDT,LONG,133,2227.801491935266,2248.723783638323,2.817435724699427,0.9391452415664756,1,take_profit,0.060252236072785,30,10.0,0.005,False
ETHUSDT,LONG,135,2189.5284454549683,2166.3271135510604,-3.178949141136207,-1.059649713712069,1,hard_stop,0.060252236072785,30,10.0,0.005,False
ETHUSDT,LONG,132,1931.5030730138071,1911.0359062302766,-3.1789491411361883,-1.0596497137120626,1,hard_stop,0.060252236072785,30,10.0,0.005,False
ETHUSDT,SHORT,134,2175.1486341827704,2154.694617774044,2.8210508588638543,0.9403502862879516,1,take_profit,0.060252236072785,30,10.0,0.005,False
SOLUSDT,LONG,139,116.84697146745562,117.93764875522076,2.800271005917145,0.9334236686390484,4,take_profit,0.06591715976331664,30,10.0,0.005,False
SOLUSDT,LONG,132,102.44748598816568,103.4037550703049,2.800271005917157,0.9334236686390524,1,take_profit,0.06591715976331664,30,10.0,0.005,False
SOLUSDT,LONG,132,94.38217306508875,93.37675942710854,-3.19577396449703,-1.0652579881656767,1,hard_stop,0.06591715976331664,30,10.0,0.005,False
SOLUSDT,LONG,132,81.70382136094676,80.83346487726266,-3.19577396449705,-1.0652579881656834,1,hard_stop,0.06591715976331664,30,10.0,0.005,False
SOLUSDT,LONG,132,75.52975427218935,76.23476687543088,2.8002710059171436,0.9334236686390478,1,take_profit,0.06591715976331664,30,10.0,0.005,False
SOLUSDT,SHORT,134,86.28308712426035,87.20336210949526,-3.199728994082861,-1.0665763313609538,1,hard_stop,0.06591715976331664,30,10.0,0.005,False
SOLUSDT,SHORT,138,91.43968579881657,92.41495984501756,-3.1997289940828386,-1.0665763313609462,1,hard_stop,0.06591715976331664,30,10.0,0.005,False
SOLUSDT,SHORT,144,92.73882887573964,91.87196008095496,2.8042260355029702,0.9347420118343233,1,take_profit,0.06591715976331664,30,10.0,0.005,False
OPUSDT,LONG,137,0.15956222312447782,0.15780583655471328,-3.3022601503759685,-1.100753383458656,1,hard_stop,0.10177109440267454,30,10.0,0.005,False
DOGEUSDT,SHORT,136,0.11581761931752714,0.11474094203010286,2.788895058719289,0.929631686239763,1,take_profit,0.07107910480832719,30,10.0,0.005,False
LTCUSDT,LONG,131,50.9752728186356,51.44937533149878,2.790191125901261,0.9300637086337539,1,take_profit,0.06924385283786097,30,10.0,0.005,False
BTCUSDT,LONG,132,63779.29150017792,64378.38676689453,2.817977054738567,0.9393256849128556,1,take_profit,0.06007357929420225,30,10.0,0.005,False
BTCUSDT,LONG,132,63523.93819240356,64120.63485991298,2.817977054738574,0.9393256849128581,1,take_profit,0.06007357929420225,30,10.0,0.005,False
BTCUSDT,SHORT,134,73535.89780028175,72844.27271169494,2.8215814694962087,0.9405271564987362,2,take_profit,0.06007357929420225,30,10.0,0.005,False
XRPUSDT,LONG,132,1.5831072336167094,1.597920352338819,2.8070970318797963,0.9356990106265987,1,take_profit,0.06366434591425389,30,10.0,0.005,False
XRPUSDT,LONG,139,1.1888563960938072,1.199980513629828,2.8070970318798056,0.9356990106266018,1,take_profit,0.06366434591425389,30,10.0,0.005,False
LINKUSDT,LONG,132,7.912092593288589,7.985055257919311,2.7664993971106426,0.9221664657035475,1,take_profit,0.07706290524400018,30,10.0,0.005,False
LINKUSDT,SHORT,137,9.527652051984983,9.439644394083203,2.7711231714253737,0.923707723808458,1,take_profit,0.07706290524400018,30,10.0,0.005,False
SUIUSDT,SHORT,132,0.9795578804407228,0.9703975835601375,2.8054381665932437,0.9351460555310812,2,take_profit,0.06550903481709944,30,10.0,0.005,False
BNBUSDT,LONG,139,754.1882247355044,761.2670186398216,2.815793328038134,0.9385977760127114,1,take_profit,0.06079428117553541,30,10.0,0.005,False
BNBUSDT,LONG,139,615.8241584034948,621.604270258419,2.815793328038107,0.9385977760127024,1,take_profit,0.06079428117553541,30,10.0,0.005,False
TAOUSDT,SHORT,134,185.95318565330516,187.93062593084588,-3.1902227497637528,-1.0634075832545842,1,hard_stop,0.06277978540056454,30,10.0,0.005,False
TAOUSDT,SHORT,134,204.4815462810919,202.56382016346063,2.813544037360311,0.9378480124534371,1,take_profit,0.06277978540056454,30,10.0,0.005,False
